Id,FirstName,SecondName,ThirdName,SLUSort,Surcharge,DefinitionOptionBits,SpecialCount,Icon,Tare,PrepTime,NLU,MoveFlag,NLUGroup,SLU,MobileSLU,MainMenuLevel,SubMenuLevel,PrefixLevelOverride,PrintClassOverride,MenuItemClass,LongDescriptor,Quantity,HierarchyId,DefinitionSequence,MenuItemMasterId,SORT_ORDER,CONDIMENT_MAX,ConsumerFacingName,ConsumerFacingDescription,ConsumerFacingImageDetails,DAYPARTS,STARBUCKS_ITEM,FLO_UI_CREW_MEAL,ALLEGRO_ITEM_ID,,,,,,,,,,,
26752,No Jalapenos,,,0,,"00000000	",,,,,,TRUE,,,,"11111111	","11111111	",0,,90038,,1,448,1,16293,,,,,,,,,RC001026,,,,,,,,,,,
26753,Add Sour Cream,,,0,,"00000000	",,,,,,TRUE,,,,"11111111	","11111111	",0,,90038,,1,448,1,16294,,,,,,,,,RC005488,,,,,,,,,,,
26754,Add Guacamole,,,0,,"00000000	",,,,,,TRUE,,,,"11111111	","11111111	",0,,90038,,1,448,1,16295,,,,,,,,,RC001227,,,,,,,,,,,
26755,No Beans,,,0,,"00000000	",,,,,,TRUE,,,,"11111111	","11111111	",0,,90038,,1,448,1,16296,,,,,,,,,RC001166,,,,,,,,,,,
26756,Salsa Verde,,,0,,"00000000	",,,,,,TRUE,,,,"11111111	","11111111	",0,,90038,,1,448,1,16297,,,,,,,,,RC008359,,,,,,,,,,,
26757,Salsa Roja,,,0,,"00000000	",,,,,,TRUE,,,,"11111111	","11111111	",0,,90038,,1,448,1,16298,,,,,,,,,RC004362,,,,,,,,,,,
26758,Black Beans,,,0,,"00000000	",,,,,,TRUE,,,,"11111111	","11111111	",0,,90038,,1,448,1,16299,,,,,,,,,RC003940,,,,,,,,,,,
26759,Refried Beans,,,0,,"00000000	",,,,,,TRUE,,,,"11111111	","11111111	",0,,90038,,1,448,1,16306,,,,,,,,,RC003500,,,,,,,,,,,
26760,Add Brown Rice ,,,0,,"00000000	",,,,,,TRUE,,,,"11111111	","11111111	",0,,90038,,1,448,1,16300,,,,,,,,,RC007632,,,,,,,,,,,
26761,Add Spanish Rice ,,,0,,"00000000	",,,,,,TRUE,,,,"11111111	","11111111	",0,,90038,,1,448,1,16301,,,,,,,,,RC006657,,,,,,,,,,,
26762,CG 40 *CHX. FAJITA QUSDILA MODS*,,,0,,"00000000	",,,,,,TRUE,,,,"00000000	","00000000	",0,,,,1,448,1,16322,,,,,,,,,,,,,,,,,,,,
26763,No Jalapenos,,,0,,"00000000	",,,,,,TRUE,,,,"11111111	","11111111	",0,,90040,,1,448,1,16323,,,,,,,,,RC001026,,,,,,,,,,,
26764,Add Sour Cream,,,0,,"00000000	",,,,,,TRUE,,,,"11111111	","11111111	",0,,90040,,1,448,1,16324,,,,,,,,,RC005488,,,,,,,,,,,
26765,Add Guacamole,,,0,,"00000000	",,,,,,TRUE,,,,"11111111	","11111111	",0,,90040,,1,448,1,16325,,,,,,,,,RC001227,,,,,,,,,,,
26766,No Beans,,,0,,"00000000	",,,,,,TRUE,,,,"11111111	","11111111	",0,,90040,,1,448,1,16326,,,,,,,,,RC001166,,,,,,,,,,,
