Id,MasterName,ReportGroup,Status,MajorGroup,FamilyGroup,RecipeLink,MenuItemName,ObjectNumber,HierarchyId,LP_DontPrintWhenNOPrefix,LP_PrintQuantityAlways,LP_FlavourItem,LP_DoNotPrintWhenDisplayInDefaultState,LP_SugarCaneItem,LP_PrintInDefaultState
19610,167376,0,"00000000	",1000,10012,,Vegetable Fried Rice,41260061,42,,,,,,
19611,167378,0,"00000000	",1000,10005,,Vegetable Stir-Fry Bowl,41260062,42,,,,,,
17815,165036,0,"00000000	",1000,10015,,Veggie Omelette,41260063,42,,,,,,
17816,170093,0,"00000000	",,,,***IAH YUME MODS***,41265000,42,,,,,,
11684,115781,0,"00000000	",,,,**BEGIN IAH LINE SPORTS BAR**,41270000,42,,,,,,
11685,115785,0,"00000000	",,,,**END IAH LINE SPORTS BAR**,41279999,42,,,,,,
11686,115787,0,"00000000	",,,,**BEGIN IAH TAGLIARE PIZZA**,42010000,42,,,,,,
11789,120664,11,"00000000	",1000,10010,,2 Single Topping Pizza Slices,42010001,42,,,,,,
11791,120668,11,"00000000	",1000,10015,,"Bacon, Egg & Cheese Stromboli",42010003,42,,,,,,
11792,120670,11,"00000000	",1000,10015,,"Bacon, Egg, American Cheese Croissant",42010004,42,,,,,,
11793,120672,11,"00000000	",1000,10015,,"Bacon, Egg, and Cheese Stromboli",42010005,42,,,,,,
11795,120676,11,"00000000	",1000,10015,,Breakfast Pizza Slice,42010007,42,,,,,,
11797,120680,11,"00000000	",1000,10010,,Cheese Slice,42010009,42,,,,,,
11798,120682,11,"00000000	",1000,10015,,Egg & Cheese Breakfast Stromboli,42010010,42,,,,,,
11799,120684,11,"00000000	",1000,10015,,Egg and Cheese Croissant,42010011,42,,,,,,
11802,120741,11,"00000000	",1000,10015,,"Ham, Egg, Swiss Cheese Croissant",42010014,42,,,,,,
11803,120743,11,"00000000	",1000,10010,,Pepperoni Slice,42010015,42,,,,,,
11804,120745,11,"00000000	",1000,10010,,Pepperoni Stromboli,42010016,42,,,,,,
11806,120749,11,"00000000	",1000,10010,,"Pepperoni, Sausage & Bacon Slice",42010018,42,,,,,,
11807,120751,11,"00000000	",1000,10010,,"Pepperoni, Sausage & Bacon Stromboli",42010019,42,,,,,,
11811,120759,11,"00000000	",1000,10015,,"Sausage, Egg & Cheese Croissant ",42010023,42,,,,,,
11812,120761,11,"00000000	",1000,10010,,Sausage Slice,42010024,42,,,,,,
11813,120763,11,"00000000	",1000,10015,,"Sausage, Egg & Cheese Stromboli",42010025,42,,,,,,
11815,120767,11,"00000000	",1000,10010,,"Sausage, Onion & Mushroom Slice",42010027,42,,,,,,
11820,120777,11,"00000000	",1000,10010,,Whole Cheese Pie,42010032,42,,,,,,
11822,120781,11,"00000000	",1000,10010,,Whole Pepperoni Pie,42010034,42,,,,,,
11823,120783,11,"00000000	",1000,10010,,"Whole Pepperoni, Sausage & Bacon Pie",42010035,42,,,,,,
11826,120789,11,"00000000	",1000,10010,,Whole Sausage Pie,42010038,42,,,,,,
11827,120791,11,"00000000	",1000,10010,,"Whole Sausage, Onion & Mushroom Pie",42010039,42,,,,,,
10900,123859,11,"00000000	",1000,10010,,Pepperoni Jalapeno Slice,42010041,42,,,,,,
10901,123861,11,"00000000	",1000,10010,,Whole Pepperono Jalapeno Pie,42010042,42,,,,,,
11845,122987,11,"00000000	",1000,10010,,Plain Bagel,42010043,42,,,,,,
10902,123868,11,"00000000	",1000,10010,,Poppy Seed Bagel,42010044,42,,,,,,
11846,122989,11,"00000000	",1000,10010,,Cinnamon Raisin Bagel,42010045,42,,,,,,
10903,123870,11,"00000000	",1000,10010,,Sesame Bagel,42010046,42,,,,,,
11847,122991,11,"00000000	",1000,10010,,Onion Bagel,42010047,42,,,,,,
11848,122997,11,"00000000	",3000,30001,,Coffee,42010048,42,,,,,,
11849,122999,11,"00000000	",3000,30005,,Fountain Soda,42010049,42,,,,,,
11856,123162,0,"00000000	",,,,***CONDIMENTS***,42015000,42,,,,,,
11853,123156,0,"00000000	",,,,**CG 1 Bagel Options**,42015020,42,,,,,,
11854,123158,0,"00000000	",1000,10006,,Plain Cream Cheese,42015021,42,,,,,,
13265,124058,0,"00000000	",1000,10006,,Straweberry Cream Cheese,42015022,42,,,,,,
11855,123160,0,"00000000	",1000,10006,,Fat Free Cream Cheese,42015023,42,,,,,,
11687,115789,0,"00000000	",,,,**END IAH TAGLIARE PIZZA**,42019999,42,,,,,,
14190,132270,0,"00000000	",,,,**BEGIN IAH WORLD BEAN**,42020000,42,,,,,,
13922,130664,11,"00000000	",1000,10015,,WB Almond Croissant,42020001,42,,,,,,
14191,132668,11,"00000000	",1000,10015,,WB Banana Nut Muffin,42020002,42,,,,,,
13923,130666,11,"00000000	",1000,10015,,WB Blueberry Cream Cheese Danish,42020003,42,,,,,,
14192,132670,11,"00000000	",1000,10015,,WB Blueberry Muffin,42020004,42,,,,,,
14193,132672,11,"00000000	",1000,10015,,WB Blueberry Scone,42020005,42,,,,,,
14194,132674,11,"00000000	",1000,10015,,WB Chocolate Chip Cookie,42020006,42,,,,,,
14195,132676,11,"00000000	",1000,10015,,WB Cinnamon Roll,42020007,42,,,,,,
13924,130668,11,"00000000	",1000,10015,,WB Cream Cheese Danish,42020008,42,,,,,,
13925,130670,11,"00000000	",1000,10015,,WB Croissant,42020009,42,,,,,,
14196,132678,11,"00000000	",1000,10015,,WB Lemon Danish,42020010,42,,,,,,
14197,132680,11,"00000000	",1000,10015,,WB Raspberry Danish,42020011,42,,,,,,
13926,130672,11,"00000000	",1000,10015,,WB Sticky Bun,42020012,42,,,,,,
